source,target,experiment
0,14,0
0,24,0
0,30,0
0,5,0
1,14,0
1,9,0
1,43,0
1,11,0
2,43,0
2,9,0
2,48,0
2,44,0
3,14,0
3,14,0
3,43,0
3,24,0
4,26,0
4,14,0
4,44,0
4,18,0
5,19,0
5,14,0
5,27,0
5,1,0
6,49,0
6,14,0
6,44,0
6,43,0
7,32,0
7,45,0
7,27,0
7,4,0
8,9,0
8,11,0
8,18,0
8,24,0
9,13,0
9,13,0
9,37,0
9,18,0
10,14,0
10,2,0
10,24,0
10,41,0
11,29,0
11,16,0
11,43,0
11,24,0
12,34,0
12,26,0
12,26,0
12,14,0
13,24,0
13,24,0
13,43,0
13,11,0
14,26,0
14,5,0
14,32,0
14,16,0
15,24,0
15,11,0
15,43,0
15,46,0
16,24,0
16,14,0
16,43,0
16,18,0
17,46,0
17,11,0
17,27,0
17,14,0
18,43,0
18,49,0
18,5,0
18,41,0
19,14,0
19,11,0
19,18,0
19,28,0
20,16,0
20,40,0
20,43,0
20,14,0
21,14,0
21,14,0
21,9,0
21,18,0
22,14,0
22,14,0
22,10,0
22,18,0
23,13,0
23,14,0
23,34,0
23,43,0
24,44,0
24,27,0
24,34,0
24,29,0
25,11,0
25,18,0
25,24,0
25,27,0
26,14,0
26,34,0
26,12,0
26,44,0
27,29,0
27,18,0
27,19,0
27,49,0
28,16,0
28,14,0
28,43,0
28,43,0
29,18,0
29,14,0
29,14,0
29,34,0
30,18,0
30,36,0
30,14,0
30,24,0
31,27,0
31,14,0
31,49,0
31,24,0
32,14,0
32,14,0
32,14,0
32,17,0
33,46,0
33,27,0
33,9,0
33,16,0
34,25,0
34,9,0
34,14,0
34,14,0
35,18,0
35,27,0
35,43,0
35,34,0
36,14,0
36,14,0
36,9,0
36,18,0
37,49,0
37,18,0
37,42,0
37,4,0
38,37,0
38,14,0
38,48,0
38,45,0
39,14,0
39,14,0
39,43,0
39,46,0
40,46,0
40,20,0
40,43,0
40,14,0
41,14,0
41,11,0
41,47,0
41,47,0
42,8,0
42,49,0
42,19,0
42,14,0
43,27,0
43,27,0
43,13,0
43,18,0
44,14,0
44,28,0
44,49,0
44,26,0
45,30,0
45,14,0
45,16,0
45,4,0
46,30,0
46,43,0
46,18,0
46,1,0
47,48,0
47,43,0
47,14,0
47,18,0
48,4,0
48,10,0
48,11,0
48,14,0
49,43,0
49,20,0
49,26,0
49,26,0
0,40,1
0,30,1
0,12,1
0,16,1
0,18,1
1,29,1
1,18,1
1,47,1
1,47,1
1,3,1
2,10,1
2,22,1
2,29,1
2,17,1
2,26,1
3,2,1
3,2,1
3,18,1
3,18,1
3,18,1
4,30,1
4,24,1
4,31,1
4,5,1
4,16,1
5,2,1
5,2,1
5,2,1
5,38,1
5,18,1
6,22,1
6,30,1
6,30,1
6,28,1
6,29,1
7,31,1
7,31,1
7,31,1
7,2,1
7,18,1
8,19,1
8,47,1
8,29,1
8,24,1
8,3,1
9,18,1
9,0,1
9,36,1
9,13,1
9,23,1
10,29,1
10,18,1
10,17,1
10,36,1
10,1,1
11,37,1
11,37,1
11,37,1
11,16,1
11,27,1
12,29,1
12,29,1
12,19,1
12,0,1
12,47,1
13,26,1
13,1,1
13,29,1
13,16,1
13,18,1
14,29,1
14,29,1
14,28,1
14,39,1
14,31,1
15,0,1
15,0,1
15,24,1
15,31,1
15,10,1
16,30,1
16,3,1
16,3,1
16,47,1
16,37,1
17,3,1
17,31,1
