AgentID,C4,C5,experiment,in_degree,max_od
0,0.0,0.0,0,0,4
1,0.0,0.0,0,2,4
2,0.0,0.0,0,1,4
3,0.0,0.0,0,0,4
4,0.0,0.0,0,4,4
5,0.0,0.0,0,3,4
6,0.0,0.0,0,0,4
7,0.0,0.0,0,0,4
8,0.0,0.0,0,1,4
9,0.0,0.0,0,7,4
10,0.0,0.0,0,2,4
11,0.0,0.0,0,9,4
12,0.0,0.0,0,1,4
13,0.0,0.0,0,4,4
14,0.0,0.0,0,41,4
15,0.0,0.0,0,0,4
16,0.0,0.0,0,6,4
17,0.0,0.0,0,1,4
18,0.0,0.0,0,17,4
19,0.0,0.0,0,3,4
20,0.0,0.0,0,2,4
21,0.0,0.0,0,0,4
22,0.0,0.0,0,0,4
23,0.0,0.0,0,0,4
24,0.0,0.0,0,12,4
25,0.0,0.0,0,1,4
26,0.0,0.0,0,7,4
27,0.0,0.0,0,10,4
28,0.0,0.0,0,2,4
29,0.0,0.0,0,3,4
30,0.0,0.0,0,3,4
31,0.0,0.0,0,0,4
32,0.0,0.0,0,2,4
33,0.0,0.0,0,0,4
34,0.0,0.0,0,6,4
35,0.0,0.0,0,0,4
36,0.0,0.0,0,1,4
37,0.0,0.0,0,2,4
38,0.0,0.0,0,0,4
39,0.0,0.0,0,0,4
40,0.0,0.0,0,1,4
41,0.0,0.0,0,2,4
42,0.0,0.0,0,1,4
43,0.0,0.0,0,19,4
44,0.0,0.0,0,5,4
45,0.0,0.0,0,2,4
46,0.0,0.0,0,5,4
47,0.0,0.0,0,2,4
48,0.0,0.0,0,3,4
49,0.0,0.0,0,7,4
0,0.0,0.0,1,12,5
1,0.0,0.0,1,2,5
2,0.0,0.0,1,14,5
3,0.0,0.0,1,10,5
4,0.0,0.0,1,0,5
5,0.0,0.0,1,3,5
6,0.0,0.0,1,1,5
7,0.0,0.0,1,0,5
8,0.0,0.0,1,1,5
9,0.0,0.0,1,0,5
10,0.0,0.0,1,5,5
11,0.0,0.0,1,0,5
12,0.0,0.0,1,2,5
13,0.0,0.0,1,1,5
14,0.0,0.0,1,0,5
15,0.0,0.0,1,4,5
16,0.0,0.0,1,10,5
17,0.0,0.0,1,4,5
18,0.0,0.0,1,24,5
19,0.0,0.0,1,5,5
20,0.0,0.0,1,0,5
21,0.0,0.0,1,1,5
22,0.0,0.0,1,10,5
23,0.0,0.0,1,1,5
24,0.0,0.0,1,10,5
25,0.0,0.0,1,0,5
